2017-03-01,-0.0,0.015,0.0,0.0,0.006,0.0,-0.0,0.051,0.0,0.044,0.0,0.0,-0.0,0.0,0.0,0.132,0.0,0.096,-0.0,-0.024,-0.0,0.0,-0.0,0.158,0.0,0.016,-0.035,-0.0,0.0,0.0,0.068,0.0,-0.02,-0.0,0.0,0.068,-0.005,0.0,-0.0,-0.079,-0.0,0.0,0.042,0.002,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.152,0.234,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.001,-0.0,0.0,0.085,0.0,-0.0,0.0,0.004,0.0,0.23,0.0,-0.19,0.087,0.0,0.0,-0.039,0.133,0.0,0.0,-0.045,0.0,-0.062,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.026,-0.0,-0.049,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.05,-0.072,-0.0,0.209,0.0,0.106,0.0,0.0,0.0,-0.068,-0.058,0.0,0.0,-0.076,0.0,-0.0,-0.028,0.0,0.0,-0.0,-0.043,-0.0,-0.0,0.012,-0.055,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.016,0.0,-0.0,0.0,0.0,0.0,0.094,0.0,-0.0,0.0,-0.0,0.0,-0.01,0.0,0.0,0.058,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.15,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.008,0.393,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.105,0.053,0.08,0.0,0.0,-0.0,-0.0,0.0,0.0,0.062,-0.177,0.101,-0.0,-0.0,0.0,-0.0,-0.082,-0.038,0.0,-0.0,0.045,-0.0,0.11,0.0,-0.033,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.0,0.0,0.012,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.047,-0.0,0.0,-0.12,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.031,-0.0,0.058,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.003,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.01,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.156,-0.061,0.0,-0.0,0.0,-0.0,341.99
2017-03-02,-0.027,0.0,0.0,0.038,-0.0,0.0,-0.02,0.045,0.0,0.0,0.027,0.0,-0.018,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.031,-0.0,0.154,0.0,0.0,-0.0,-0.0,0.36,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.066,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.012,0.0,0.0,0.0,0.0,0.0,0.008,-0.018,0.0,-0.07,0.0,-0.0,0.0,0.0,0.0,-0.0,0.169,0.0,-0.0,0.0,0.075,-0.188,0.0,0.0,0.137,-0.019,0.08,0.474,0.0,-0.027,0.0,-0.0,0.0,-0.0,0.023,-0.002,0.0,0.0,-0.0,-0.0,-0.069,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.142,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.06,0.0,-0.041,-0.0,0.0,-0.0,0.0,0.0,-0.013,-0.001,-0.01,0.015,0.039,0.174,-0.026,0.0,0.0,0.0,0.0,0.11,-0.013,0.0,-0.0,0.0,0.002,0.0,0.01,0.093,0.005,0.0,0.0,0.113,-0.012,0.018,-0.111,0.0,0.0,-0.0,-0.045,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.098,-0.0,-0.0,0.046,0.0,0.0,-0.012,0.0,0.0,0.0,0.263,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.052,-0.0,0.0,0.104,-0.0,-0.024,0.0,0.0,0.0,0.003,-0.0,-0.0,-0.07,-0.0,0.0,0.0,0.0,0.023,-0.0,-0.044,-0.024,-0.011,-0.0,-0.0,0.133,-0.0,0.0,0.068,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.105,0.0,0.0,-0.0,-0.0,0.0,0.0,0.016,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.06,-0.032,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.006,0.0,0.0,0.0,-0.011,0.022,0.0,-0.058,-0.0,0.0,0.0,-0.0,0.0,0.0,0.143,-0.165,0.0,-0.0,0.0,-0.0,343.992
2017-03-03,-0.0,0.0,0.0,0.0,0.0,0.0,-0.008,0.021,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.035,-0.006,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.06,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.064,-0.0,-0.112,-0.0,0.144,0.165,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.109,0.0,0.0,0.0,0.0,0.028,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.004,0.0,-0.0,0.168,0.0,0.0,0.0,0.076,0.0,-0.033,-0.0,-0.0,0.0,-0.015,-0.044,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,-0.0,-0.0,0.0,0.0,0.0,0.05,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.073,0.093,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.011,0.0,0.209,0.015,0.0,0.0,-0.0,0.044,-0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,-0.063,0.0,0.062,-0.0,-0.0,0.0,0.037,-0.005,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.004,0.0,0.055,0.0,0.0,0.0,-0.028,-0.0,0.0,0.0,0.042,-0.0,0.0,-0.118,-0.0,0.073,-0.0,-0.047,-0.0,0.0,0.0,0.0,0.0,0.0,0.063,-0.0,-0.0,0.0,0.0,0.287,0.0,-0.0,-0.0,-0.0,0.016,0.099,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.167,0.0,0.215,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.022,0.0,-0.085,0.076,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.019,0.0,0.032,-0.038,0.0,-0.002,0.0,0.0,0.13,-0.0,0.155,0.202,0.129,-0.054,0.0,0.05,-0.035,0.088,-0.0,-0.029,0.0,0.0,-0.002,0.0,0.0,-0.0,0.0,0.02,0.035,0.047,0.023,0.109,0.003,0.0,-0.0,0.061,0.0,-0.0,-0.02,0.0,0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.032,0.0,0.008,346.569
2017-03-06,-0.0,0.04,0.0,0.0,0.0,0.0,-0.0,-0.0,0.003,0.124,0.0,0.0,-0.042,0.107,0.035,0.0,-0.0,0.051,-0.0,-0.012,-0.0,0.143,-0.028,0.0,0.0,-0.001,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.049,-0.0,0.0,-0.067,-0.037,-0.0,0.0,0.147,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.069,-0.0,-0.0,0.0,0.022,0.0,-0.0,0.0,0.0,0.0,0.0,0.025,-0.129,0.003,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.052,-0.0,0.0,0.0,0.016,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.042,0.0,-0.069,-0.084,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.163,0.0,-0.0,-0.0,-0.066,0.0,-0.0,0.005,0.0,-0.0,0.0,0.047,-0.0,-0.027,-0.001,-0.0,0.0,0.0,-0.015,0.018,0.0,0.0,0.0,0.059,0.008,0.0,-0.036,0.004,-0.0,0.076,0.0,0.0,-0.0,0.0,0.0,0.0,0.032,0.0,-0.0,0.023,0.0,-0.069,-0.0,0.0,0.0,0.0,0.705,0.0,-0.0,-0.0,-0.0,-0.012,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.087,0.037,0.0,-0.0,0.093,-0.0,-0.0,0.0,-0.0,-0.068,-0.0,0.0,0.0,0.061,0.025,0.0,0.041,-0.0,-0.0,0.0,0.0,0.203,0.027,-0.029,-0.0,-0.067,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.015,0.0,-0.037,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.072,-0.0,0.0,-0.076,0.0,0.0,-0.0,-0.008,0.025,0.0,0.005,0.0,-0.0,-0.0,-0.0,-0.0,0.061,0.0,-0.0,0.0,0.0,0.01,0.0,0.0,-0.0,0.0,0.187,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.041,-0.0,0.0,0.0,0.005,0.0,0.0,-0.0,0.0,-0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.0,0.043,0.77,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.054,0.0,-0.0,0.0,0.0,348.814
2017-03-07,-0.0,0.0,0.0,0.0,0.006,0.012,-0.0,-0.002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.033,-0.018,-0.0,0.0,-0.0,0.107,0.0,0.002,-0.019,-0.0,0.0,0.171,0.0,0.058,-0.0,-0.0,0.0,0.0,-0.0,0.059,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.03,-0.0,0.0,0.0,0.0,0.0,0.0,-0.028,-0.0,0.608,-0.061,0.003,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.207,0.0,-0.142,0.024,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.093,-0.0,0.0,-0.088,-0.0,0.028,0.0,-0.0,-0.06,-0.0,-0.068,0.0,-0.0,-0.07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.099,0.0,0.298,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.041,0.0,0.227,0.0,-0.016,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.016,0.0,0.0,-0.0,-0.0,-0.0,-0.021,0.046,0.165,-0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008,0.07,0.0,0.079,-0.0,0.0,0.117,0.0,0.045,0.038,-0.0,0.0,0.0,-0.0,-0.0,0.071,0.0,-0.009,0.0,0.0,-0.0,-0.0,-0.095,-0.0,-0.0,0.0,0.0,0.0,-0.004,0.0,0.07,0.0,0.0,0.0,-0.0,-0.0,0.085,0.0,0.0,-0.0,0.057,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.103,0.105,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.058,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.105,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.085,-0.0,0.0,-0.0,0.0,0.0,-0.033,-0.037,0.025,0.0,-0.002,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.028,-0.0,0.0,0.0,0.0,0.074,0.0,-0.0,0.0,0.159,0.0,-0.0,0.0,0.0,-0.04,0.064,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.035,-0.02,0.027,0.0,-0.0,0.0,-0.0,0.039,0.957,-0.0,-0.031,0.08,0.0,-0.148,0.0,0.0,0.0,-0.005,0.0,-0.068,0.0,0.0,351.913
2017-03-08,-0.036,-0.0,0.0,0.0,-0.006,-0.0,-0.0,-0.019,0.011,0.0,0.0,0.0,0.0,0.105,0.0,0.0,-0.0,0.0,-0.071,0.0,-0.0,0.0,-0.0,0.092,0.0,-0.0,-0.0,-0.0,0.0,0.159,0.051,0.0,-0.0,-0.0,0.0,0.0,0.0,0.047,-0.026,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.069,-0.035,-0.0,0.0,0.0,0.0,0.017,-0.008,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.02,0.089,0.0,-0.0,0.0,0.013,-0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.284,-0.0,0.0,-0.056,0.237,-0.101,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.106,0.0,0.0,0.0,0.0,0.0,0.0,-0.278,-0.046,-0.0,-0.0,0.0,0.235,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.007,-0.04,-0.0,0.0,0.0,0.0,-0.026,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.008,0.0,0.0,-0.012,-0.066,-0.024,-0.042,0.032,0.065,-0.0,0.027,0.0,0.0,0.079,0.0,0.009,0.0,-0.0,0.0,-0.012,0.06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.051,-0.0,-0.028,0.083,0.0,0.0,0.0,0.0,-0.026,-0.078,-0.0,-0.0,-0.0,0.024,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.062,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.056,0.0,0.05,0.0,-0.0,-0.016,0.0,0.099,0.001,0.0,-0.0,-0.017,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.025,0.0,0.026,-0.0,0.0,0.022,-0.0,0.0,0.066,-0.047,0.086,0.119,0.0,-0.0,0.0,0.0,-0.04,0.041,-0.0,-0.036,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.052,-0.0,0.0,0.0,-0.0,0.0,-0.008,0.038,0.0,-0.089,-0.0,0.127,0.0,-0.123,0.0,0.0,0.0,0.0,0.0,-0.069,0.0,0.0,352.668
2017-03-09,-0.0,0.002,0.0,0.067,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.038,0.118,0.056,-0.003,-0.035,-0.118,0.401,0.0,0.0,0.0,-0.0,-0.0,0.342,0.0,0.0,0.0,-0.031,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.034,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.063,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.139,0.0,0.0,0.0,0.0,-0.029,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.133,0.0,-0.0,-0.0,-0.0,0.003,-0.0,-0.063,-0.0,0.0,0.0,0.0,0.0,0.055,0.0,-0.0,-0.0,-0.0,-0.0,0.296,0.0,0.0,0.0,0.011,-0.0,-0.081,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.035,-0.0,-0.052,-0.0,0.0,-0.023,0.0,0.0,0.0,0.0,0.048,-0.0,-0.076,-0.0,-0.0,0.0,0.037,-0.0,0.0,0.195,0.0,0.0,0.078,0.0,0.042,0.0,-0.0,-0.024,0.0,0.0,0.105,-0.008,0.0,0.147,0.004,0.0,0.0,-0.0,0.002,0.0,-0.0,-0.0,0.0,0.0,0.0,0.393,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.071,0.0,-0.008,0.117,0.0,0.044,0.0,0.064,-0.0,-0.0,0.07,0.0,0.0,-0.188,0.051,-0.0,-0.021,0.0,-0.08,-0.0,-0.0,0.0,0.03,0.0,0.006,0.0,0.0,-0.018,-0.0,0.0,0.116,-0.033,0.0,-0.02,-0.0,-0.0,-0.0,0.0,0.0,0.074,0.0,-0.073,-0.0,-0.0,-0.003,0.002,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.021,0.0,0.0,-0.037,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.089,-0.0,0.0,0.141,0.0,-0.0,0.0,0.03,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.029,0.041,-0.0,0.014,0.104,0.0,0.0,-0.0,0.048,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.027,0.0,-0.0,0.0,0.0,355.174
2017-03-10,-0.0,-0.0,0.0,0.0,-0.003,-0.0,-0.0,-0.004,0.0,0.0,-0.044,0.0,0.0,0.0,0.023,0.0,-0.0,0.0,-0.0,0.006,-0.0,0.0,-0.063,0.113,0.0,-0.0,-0.0,-0.0,0.34,0.0,0.053,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.134,0.12,-0.0,-0.0,0.0,-0.0,-0.036,-0.007,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.106,0.028,0.026,0.0,0.0,0.0,0.262,0.0,-0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.284,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.017,0.0,0.0,0.0,0.0,0.051,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.196,0.1,0.0,0.0,-0.0,-0.0,-0.12,0.0,0.0,-0.0,0.0,-0.0,-0.057,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.002,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.016,-0.0,-0.003,0.023,-0.023,0.0,0.0,0.0,0.0,0.0,0.035,0.0,-0.013,-0.0,-0.0,0.114,0.0,0.0,-0.0,0.0,0.168,-0.078,0.045,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.011,0.297,0.0,-0.0,-0.0,-0.109,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.087,0.064,-0.059,-0.028,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.057,-0.083,-0.113,-0.0,0.122,0.0,0.0,0.0,0.081,0.0,-0.0,-0.0,0.0,0.0,0.0,0.034,0.0,-0.0,-0.073,-0.0,0.0,0.0,0.0,0.043,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.16,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.045,-0.047,0.0,0.0,0.003,0.0,-0.0,-0.055,-0.0,-0.028,0.0,0.0,-0.059,0.0,0.0,-0.0,0.0,0.0,-0.0,0.042,0.0,0.0,-0.056,0.0,0.0,-0.053,0.083,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.021,-0.0,0.0,0.0,-0.0,0.049,-0.0,0.041,0.0,-0.0,-0.067,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.083,0.0,0.0,356.762
2017-03-13,-0.056,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.01,0.009,0.189,-0.0,0.0,0.032,0.096,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.056,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.052,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.066,0.368,-0.0,-0.043,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.175,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.094,0.0,-0.0,0.0,-0.064,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.042,-0.0,-0.105,-0.0,-0.15,0.0,0.0,0.0,0.0,-0.011,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.053,-0.061,-0.0,-0.009,0.216,-0.0,-0.022,-0.0,-0.104,0.062,-0.094,-0.0,0.0,0.0,0.042,0.04,-0.018,-0.0,-0.0,-0.0,-0.0,0.086,-0.0,0.0,0.0,0.0,0.14,0.027,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.106,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.083,-0.0,-0.03,0.0,-0.007,-0.0,0.0,0.0,-0.046,-0.144,-0.0,-0.0,-0.0,0.0,-0.018,0.0,-0.015,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.092,0.0,0.0,-0.0,0.074,-0.0,-0.048,0.0,-0.0,-0.142,-0.056,0.0,0.0,0.05,0.0,0.0,0.0,-0.0,-0.0,0.0,0.118,-0.046,0.0,-0.0,-0.0,-0.0,-0.042,0.0,0.0,0.062,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.122,-0.0,0.0,0.064,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.04,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.037,0.0,0.002,-0.0,0.0,-0.002,-0.0,0.0,0.0,-0.0,0.0,0.151,0.134,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.015,0.0,-0.0,0.0,-0.017,0.009,-0.044,-0.0,0.079,-0.029,0.0,-0.038,0.019,0.0,-0.0,-0.0,0.0,0.0,-0.174,0.0,0.0,0.135,-0.0,0.0,-0.0,-0.0,-0.0,357.596
2017-03-14,-0.0,-0.044,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.189,-0.0,0.0,0.025,0.0,-0.0,0.0,-0.0,0.15,0.0,0.0,-0.056,-0.0,0.0,0.195,0.0,-0.015,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.123,0.0,-0.0,0.0,0.0,-0.0,0.0,0.053,-0.0,-0.0,0.0,0.0,0.0,0.0,0.012,-0.006,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,-0.161,0.0,0.0,0.196,-0.0,0.0,0.084,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.103,-0.02,-0.126,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.113,-0.0,0.0,0.0,0.0,0.011,0.0,-0.103,-0.0,-0.0,0.0,0.0,-0.0,0.1,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.099,0.0,0.0,-0.004,0.0,0.0,-0.0,-0.0,-0.0,-0.104,-0.045,0.069,-0.0,-0.0,0.0,0.038,0.0,0.0,0.0,0.0,-0.053,-0.0,-0.028,0.103,-0.002,0.0,-0.0,0.085,0.17,0.0,0.006,0.0,-0.0,0.0,0.096,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.041,-0.043,-0.015,0.0,0.0,-0.0,0.0,0.022,0.0,0.0,-0.0,-0.056,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.127,-0.0,0.0,-0.041,-0.149,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.032,-0.037,0.0,0.152,-0.113,0.0,0.0,-0.0,-0.076,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.051,-0.0,-0.032,-0.0,0.0,-0.0,0.066,0.0,-0.141,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.079,-0.02,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.038,-0.063,0.112,0.0,-0.0,0.0,0.177,0.171,-0.059,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.019,-0.003,-0.037,-0.0,0.0,-0.0,0.0,-0.041,0.027,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.048,0.0,-0.0,-0.0,-0.0,357.856
